timestamp,agent,market,predicted,actual,current_price,squared_error,naive_se,direction_correct,methodology_version
1773950746.0,momentum,regime_fall,0.276484,0.265,0.275,0.00013188,0.0001,False,1.6.0,4h
1773950746.0,naive_baseline,regime_fall,0.275,0.265,0.275,0.0001,0.0001,False,N/A,4h
1773950746.0,momentum,regime_fall,0.276484,0.265,0.275,0.00013188,0.0001,False,1.6.0,4h
1773950746.0,naive_baseline,regime_fall,0.275,0.265,0.275,0.0001,0.0001,False,N/A,4h
1773950746.0,momentum,regime_fall,0.276484,0.265,0.275,0.00013188,0.0001,False,1.6.0,4h
1773950746.0,naive_baseline,regime_fall,0.275,0.265,0.275,0.0001,0.0001,False,N/A,4h
1773950746.0,momentum,regime_fall,0.276484,0.265,0.275,0.00013188,0.0001,False,1.6.0,4h
1773950746.0,naive_baseline,regime_fall,0.275,0.265,0.275,0.0001,0.0001,False,N/A,4h
1773950746.0,momentum,regime_fall,0.276484,0.265,0.275,0.00013188,0.0001,False,1.6.0,4h
1773950746.0,naive_baseline,regime_fall,0.275,0.265,0.275,0.0001,0.0001,False,N/A,4h
1773950746.0,momentum,regime_fall,0.276484,0.265,0.275,0.00013188,0.0001,False,1.6.0,4h
1773950746.0,naive_baseline,regime_fall,0.275,0.265,0.275,0.0001,0.0001,False,N/A,4h
1773950746.0,momentum,regime_fall,0.276484,0.265,0.275,0.00013188,0.0001,False,1.6.0,4h
1773950746.0,naive_baseline,regime_fall,0.275,0.265,0.275,0.0001,0.0001,False,N/A,4h
